﻿English;German
walk;(zu Fuss) gehen
ride a bicycle/bike;Velo fahren
fly by balloon;mit dem Ballon fliegen
drive by car;mit dem Auto fahren
go by train;mit dem Zug fahren
travel by plane;mit dem Flugzeug reisen
sail by boat;mit dem Boot segeln
motorbike;Motorrad
cable car;Seilbahn, Kabelstrassenbahn
ship;Schiff
lorry;Lastwagen
rocket;Rakete
means of transport;Verkehrsmittel
road;Strasse
path;Weg, Pfad
over the mountain;über den Berg
past the lake;am See vorbei
sea, ocean;Meer, Ozean
to the beach;an den Strand
up/down the hill;den Hügel hinauf/hinunter
past the town;an der Stadt vorbei
along the river;am Fluss entlang
small, smaller;klein, kleiner
big, bigger;gross, grösser
slow, slower;langsam, langsamer
fast, faster;schnell, schneller
near, nearer;nah, näher
far, farther;weit, weiter
short, shorter;kurz, kürzer
long, longer;lang, länger
good, better;gut, besser
more passengers than;mehr Passagiere/Fahrgäste als
speed;Geschwindigkeit
